,host_listings_count,host_total_listings_count,latitude,longitude,accommodates,bedrooms,beds,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,id,listing_url,scrape_id,last_scraped,source,name,description,neighborhood_overview,picture_url,host_id,host_url,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_thumbnail_url,host_picture_url,host_neighbourhood,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,property_type,room_type,bathrooms_text,amenities,price,has_availability,calendar_last_scraped,first_review,last_review,license,instant_bookable,calculated_host_listings_count_shared_rooms,reviews_per_month
4,16.0,16.0,19.41162,-99.17794,2.9,1.4,1.6,1.0,365.0,1.0,1.0,365.0,365.0,1.0,365.0,30,59,89,357,64.0,12.0,1.0,4.58,4.56,4.7,4.87,4.78,4.98,4.98,12.0,3.0,2.0,44616,https://www.airbnb.com/rooms/44616,20230329041210,2023-03-30,city scrape,CONDESA HAUS  B&B,"A new concept of hosting in mexico through a blend of art, comfort and technology, all at the Condesa, the most famous and trendy neighborhood in Mexico City.<br />We have 5 rooms with a total capacity for 14 guests .<br />If you need more rooms we also have available 4 independent loft studios in the same promises so write me so I can quote you.<br /> <br />If you need less rooms I can also quote you accordingly.<br /><br />The entire house will be for your confort if you rent the 5 rooms<br /><br /><b>The space</b><br />Stay with us at this bed & breakfast named CONDESA HAUS in the heart of the most trendy & Hip neighborhood of Mexico City.<br /><br />All rooms have private bathroom and two of them have bath tubs.<br /><br />Room amenities<br /><br />Bathrobes<br />Shampoo, Conditioner &Soap<br />Wi fi Internet  ( every room and around the house )<br />Safe<br /><br />There is big dinning table where you can gather with you party.<br /><br />You also have access to a beautiful ROOF G",Sin registro,https://a0.muscache.com/pictures/251410/ec75fe83_original.jpg,196253,https://www.airbnb.com/users/show/196253,Condesa Haus Bed & Breakfast  CDMX,2010-08-09,"Mexico City, Mexico","Condesa Haus  is Bed & Breakfast located on the heart of Condesa,  all our rooms are private and private bathroom, We offer a nice full breakfast every morning  and a reception service to help you make your stay more comfortable so yo can enjoy the beauty of Mexico City !
",within an hour,100%,86.0,f,https://a0.muscache.com/im/users/196253/profile_pic/1315928046/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/196253/profile_pic/1315928046/original.jpg?aki_policy=profile_x_medium,Condesa,"['email', 'phone', 'work_email']",t,t,Sin ubicación,CuauhtÃ©moc,Entire home,Entire home/apt,5.0,"[""Free street parking"", ""Security cameras on property"", ""Coffee maker: Nespresso"", ""Host greets you"", ""Essentials"", ""Iron"", ""Microwave"", ""TV"", ""Free parking on premises"", ""Backyard"", ""Hair dryer"", ""Washer"", ""Piano"", ""Portable fans"", ""Refrigerator"", ""Hangers"", ""Kitchen"", ""Wifi"", ""Patio or balcony"", ""Dishes and silverware"", ""Dryer"", ""Stainless steel gas stove"", ""Shampoo""]",18000.0,t,2023-03-30,2011-11-09,2023-03-26,Sin registro,f,0,0.46
37,6.0,8.0,19.41057,-99.1773,2.0,1.0,1.0,1.6,365.0,1.6,1.9,365.0,365.0,1.8,365.0,0,0,0,0,101.0,4.0,1.0,4.56,4.65,4.65,4.83,4.88,4.92,4.92,6.0,6.0,0.0,187030,https://www.airbnb.com/rooms/187030,20230329041210,2023-03-30,previous scrape,Spacious apt with the best rooftop in Condesa,"This is a lovely apartment in Condesa.  You'll love spending time on the  day-beds,  and having fun with Argentinian grill and wood-fired pizza oven. It features a dedicated work space and has potential to host more guests if needed for short stays. It even has a private mini patio.<br />We just completed renovations on the apartment and the place looks better than ever!<br /><br /><b>The space</b><br />The place is ideal for a singles or couples. Up to two children can also be accommodated but bear in mind there is only one bathroom.  It has a fully equipped kitchen with a gas stove with oven, fridge,  appliances and utensils. Wireless  High-Speed internet,  premium Cable TV package featuring HBO and Netflix. Everything is taken care off so that all you need to bring is your suit case!<br /><br /><b>Guest access</b><br />Guests will have the entire apartment to their personal use. Common areas like our beautiful roof garden and laundry room will be shared with other guests and tenants","Condesa is the place to be in Mexico City. Often nicknamed MexicoÂ´s SOHO, this old neighborhood displays a vast amount of restaurants, bars, cafÃ©s, shops and galleries contained in Art deco buildings dating from the early 20th century. Our apartment is conveniently located at quiet street which allows rest and yet is only one block away from the main restaurant streets.",https://a0.muscache.com/pictures/0a74f125-df00-4408-b3b4-d6d9ef98b4b0.jpg,899360,https://www.airbnb.com/users/show/899360,Julian,2011-07-31,"Mexico City, Mexico",Welcome home!,within a few hours,100%,100.0,t,https://a0.muscache.com/im/pictures/user/4c97ff31-4ada-4f13-a03a-702c469175c8.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/4c97ff31-4ada-4f13-a03a-702c469175c8.jpg?aki_policy=profile_x_medium,Condesa,"['email', 'phone']",t,t,"Mexico City, Federal District, Mexico",CuauhtÃ©moc,Entire rental unit,Entire home/apt,1.0,"[""Ethernet connection"", ""Smoke alarm"", ""Free street parking"", ""BBQ grill"", ""Luggage dropoff allowed"", ""Long term stays allowed"", ""Wine glasses"", ""Cleaning products"", ""Dining table"", ""Toaster"", ""Outdoor dining area"", ""Security cameras on property"", ""Host greets you"", ""Essentials"", ""Dedicated workspace"", ""Extra pillows and blankets"", ""Oven"", ""Iron"", ""Safe"", ""Microwave"", ""TV with Netflix, premium cable, standard cable"", ""Hot water"", ""Outdoor furniture"", ""Hair dryer"", ""Cooking basics"", ""Barbecue utensils"", ""Shared backyard"", ""Paid parking garage on premises \u2013 1 space"", ""Portable fans"", ""Refrigerator"", ""Free dryer \u2013 In building"", ""Hangers"", ""Room-darkening shades"", ""Fire extinguisher"", ""Kitchen"", ""First aid kit"", ""Freezer"", ""Coffee maker"", ""Bed linens"", ""Pack \u2019n play/Travel crib"", ""Gas stove"", ""Wifi"", ""Patio or balcony"", ""Free washer \u2013 In building"", ""Paid parking off premises"", ""Dishes and silverware"", ""Dishwasher"", ""Portable heater"", ""Clothing storage: closet"", ""Carbon monoxide alarm"", ""Shampoo""]",50000.0,t,2023-03-30,2011-11-01,2023-03-15,Sin registro,f,0,0.73
418,1.0,1.0,19.42898,-99.16885,6.0,3.0,3.0,3.0,365.0,3.0,3.0,365.0,365.0,3.0,365.0,25,55,85,355,4.0,4.0,2.0,5.0,5.0,4.75,5.0,5.0,4.75,4.75,1.0,1.0,0.0,6041044,https://www.airbnb.com/rooms/6041044,20230329041210,2023-03-30,city scrape,Luxury stylish townhouse  with pool and jacuzzi,"This stylish town-home, on a quiet street, only two blocks from The Angel on Reforma Avenue, has high-end luxury finishes throughout. The central location is perfect for exploring  Polanco, Roma, Zona Rosa, which are only a short walk away.  There are three bedrooms each with an en-suite bathroom.<br /><br />You can chill on the roof-top terrace with views to Reforma Avenue where you can enjoy the hot-tub.<br /><br />Enjoy the  private spa, including 1 massage for guest and use of private pool and steam room.<br /><br /><b>The space</b><br />There are three bedrooms each with an en-suite bathroom equipped with European finishes.<br /><br />WiFi is provided throughout the property with high-speed fiber optic Internet. Netflix is available on each television.<br /><br />We include a daily maid service, a house-manager to help with travel and hotel bookings,to  help you enjoy all the property has to offer. This incredible private home will feel more like a luxury boutique hotel.<br /><br ","Perfect location in a central area of mexico city surrounding by great bars, restaurants and museums",https://a0.muscache.com/pictures/miso/Hosting-6041044/original/afcb3c1b-19f4-4d5f-b17e-557fd1552d96.jpeg,7529413,https://www.airbnb.com/users/show/7529413,Andrew,2013-07-16,"Mexico City, Mexico",British guy living in Mexico City. Semi-retired now. ,within an hour,100%,85.0,f,https://a0.muscache.com/im/users/7529413/profile_pic/1374088097/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/7529413/profile_pic/1374088097/original.jpg?aki_policy=profile_x_medium,Sin registro,"['email', 'phone']",t,t,"Mexico City, Ciudad de MÃ©xico, Mexico",CuauhtÃ©moc,Entire townhouse,Entire home/apt,5.0,"[""Ethernet connection"", ""Smoke alarm"", ""Fast wifi \u2013 213 Mbps"", ""Hot water kettle"", ""Electrolux refrigerator"", ""Conditioner"", ""BBQ grill"", ""Luggage dropoff allowed"", ""Miele induction stove"", ""Fire pit"", ""Wine glasses"", ""Cleaning products"", ""Baking sheet"", ""Toaster"", ""Dining table"", ""Outdoor dining area"", ""Security cameras on property"", ""Essentials"", ""Dedicated workspace"", ""Extra pillows and blankets"", ""Bluetooth sound system"", ""Miele oven"", ""Breakfast"", ""Iron"", ""Safe"", ""Microwave"", ""Shared indoor pool - available all year, open specific hours, heated, pool cover"", ""Hot water"", ""Shampoo"", ""Private hot tub"", ""Outdoor furniture"", ""Hair dryer"", ""Cooking basics"", ""Sauna"", ""Shower gel"", ""Barbecue utensils"", ""Free dryer \u2013 In building"", ""Hangers"", ""Room-darkening shades"", ""Fire extinguisher"", ""Kitchen"", ""Blender"", ""First aid kit"", ""75\"" HDTV with Apple TV"", ""Freezer"", ""Coffee maker: espresso machine"", ""Exercise equipment: yoga mat"", ""Bed linens"", ""Private patio or balcony"", ""Free washer \u2013 In building"", ""Dishes and silverware"", ""Dishwasher"", ""Bathtub"", ""Clothing storage: closet"", ""Carbon monoxide alarm"", ""Body soap"", ""City skyline view""]",14000.0,t,2023-03-30,2023-01-04,2023-03-20,Sin registro,f,0,1.4
544,1.0,1.0,19.39614,-99.17371,2.0,2.0,2.0,1.0,10.0,1.0,1.0,10.0,10.0,1.0,10.0,30,60,90,365,40.0,0.0,0.0,4.92,4.95,4.92,5.0,5.0,4.97,4.97,1.0,1.0,0.0,6871835,https://www.airbnb.com/rooms/6871835,20230329041210,2023-03-30,city scrape,WTC MÃ©xico Napoles.,"Bonito departamento para viajeros sofisticados, Increible vista a la ciudad y con todas las comodidades que cualquier amante de los viajes requiera para una estancia de lujo.AdemÃ¡s cerca de TODO.<br />ENGLISH<br />Nice apartment for sophisticated travelers, Incredible view of the city and all the amenities that any travel lover requires for a luxury stay. Also close to EVERYTHING: Down town, cinema, Mall, many restaurants, conventions on WTC MÃ©xico, safe place, NIGHT FUN and much more to discover...<br /><br /><b>The space</b><br />SPANISH-ENGLISH<br />Completamente placentero. Para viajeros que busquen un lugar en donde las comodidades del hogar sean importantes. Privacidad y una excelente vista panorÃ¡mica desde la comodidad del sillÃ³n o recÃ¡mara . Ubicado en uno de los barrios  de negocios mas importantes de la ciudad, podrÃ¡s disfrutar de exposiciones y convenciones  a unos pasos del WTC MÃ©xico.<br /><br />Alberca (cerrada los lunes por mantenimiento) , sauna, gimnasios, Ã¡reas comerc",SPANISH-ENGLISH<br />Barrio tranquilo y con los Ã­ndices de seguridad mÃ¡s elevados de la ciudad.<br />Ubicado en una zona centrica donde podrÃ¡s trasladarte con facilidad a las atracciones mas importantes de la ciudad. Distancia promedio al aeropuerto 30 min.<br />ENGLISH<br />Quiet neighborhood with the highest security ratings in the city.<br />Located in a central area where you can easily move to the most important attractions of the city. Average distance from the airport 30 min,https://a0.muscache.com/pictures/04b4be27-9e1e-44d0-a333-21a422831493.jpg,36014559,https://www.airbnb.com/users/show/36014559,Jorge,2015-06-17,"Federal District, Mexico",Sin registro,Sin registro,0,0.0,f,https://a0.muscache.com/im/users/36014559/profile_pic/1434922614/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/36014559/profile_pic/1434922614/original.jpg?aki_policy=profile_x_medium,NÃ¡poles,"['email', 'phone']",t,t,"Mexico City, Distrito Federal, Mexico",Benito JuÃ¡rez,Entire rental unit,Entire home/apt,2.0,"[""Smoke alarm"", ""BBQ grill"", ""Pool"", ""TV with standard cable"", ""Essentials"", ""Extra pillows and blankets"", ""Oven"", ""Iron"", ""Microwave"", ""Hot water"", ""Backyard"", ""Hair dryer"", ""Hot tub"", ""Cooking basics"", ""Elevator"", ""Washer"", ""Refrigerator"", ""Hangers"", ""Fire extinguisher"", ""Kitchen"", ""Gym"", ""Building staff"", ""Self check-in"", ""Coffee maker"", ""Private entrance"", ""Wifi"", ""Patio or balcony"", ""Dishes and silverware"", ""Dryer"", ""Carbon monoxide alarm"", ""Shampoo""]",31386.0,t,2023-03-30,2015-06-21,2017-06-22,Sin registro,f,0,0.42
958,1.0,1.0,19.39196,-99.15615,4.0,1.0,3.0,1.6,365.0,1.6,1.9,365.0,365.0,1.8,365.0,30,60,90,365,0.0,0.0,0.0,4.8,4.8,4.8,4.9,4.9,4.9,4.9,1.0,1.0,0.0,9946549,https://www.airbnb.com/rooms/9946549,20230329041210,2023-03-30,city scrape,depto Amueblado Equipado Narvarte,"Rento departamento totalmente amueblado y equipado muy iluminado ventanales de piso a techo exterior da a la calle froto. Por piso 2 recamaras principal.con vestidor, cocina amplia equipada con electrodomÃ©sticos, lavadora automÃ¡tica, cisterna, patio, muy seguro, estilo moderno, un lugar de estacionamiento fijo con puerta elÃ©ctrica, cuenta con una distribuciÃ³n<br /><br /><b>The space</b><br />Procuramos a nuestros inquilinos brindÃ¡ndoles una atenciÃ³n esmerada",Que es muy cÃ©ntrico y que todo estÃ¡ a la mano,https://a0.muscache.com/pictures/6af0f0a8-c7ac-4965-8d2b-c4fd40655c20.jpg,51117526,https://www.airbnb.com/users/show/51117526,Ernesto,2015-12-12,Sin ubicación,Sin registro,Sin registro,0,0.0,f,https://a0.muscache.com/im/pictures/user/2e607920-0111-4e28-ac39-c18883aeac4b.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/2e607920-0111-4e28-ac39-c18883aeac4b.jpg?aki_policy=profile_x_medium,Sin registro,[],t,f,"Mexico City, Distrito Federal, Mexico",Benito JuÃ¡rez,Entire rental unit,Entire home/apt,1.0,"[""Wifi"", ""Washer"", ""Kitchen"", ""TV"", ""Essentials""]",17247.0,t,2023-03-30,Sin registro,Sin registro,Sin registro,f,0,Sin registro
1185,4.0,4.0,19.4,-99.15248,3.0,2.0,2.0,1.6,1125.0,1.6,1.9,1125.0,1125.0,1.8,1125.0,28,58,88,88,42.0,0.0,0.0,4.98,5.0,5.0,5.0,5.0,4.9,4.9,1.0,1.0,0.0,12013345,https://www.airbnb.com/rooms/12013345,20230329041210,2023-03-29,city scrape,Cozy apartment in Mexico City - North,"Apartment for 4 people, with 2 rooms, ideal for couples, friends or families looking for a cozy and safe accommodation in Mexico City. The subway and 'metrobus' are just a few minutes walking from the apartment. 25 minutes  by car from the Mexico City Airport, and 10 minutes by car from the North Bus Station (perfect to visit TeotihuacÃ¡n Pyramids).<br /><br />It has video surveillance systems and private security in the main access.<br /><br />I will always be there for anything that you could need!<br /><br /><b>The space</b><br />The apartment is on the first floor and is designed to make you feel as if you were at home. It's a great place to spend some incredible days in the city. It has excellent natural lighting!<br /><br />I remind you that all the space will be exclusive for you and your guests. Everything is ready to make your stay as comfortable as possible.<br /><br /><b>Guest access</b><br />The apartment has high speed Internet (wifi and ethernet), cable service on the livi","The neighborhood is in a very well located area in Mexico City for tourists, with fast access to the metro, bus stations, and metro bus (i can explain you how to use all of them).<br /><br />I can recommend you to use UBER during your stay. It's cheaper than regular taxis and works great!<br /><br />Near (15 minutes walk) you have a Walmart and a mall where you can find anything you need (food, personal care products, starbucks, restaurants, etc...)",https://a0.muscache.com/pictures/ce3c636f-8e88-477c-9a3b-f1278eb3d1fc.jpg,64260929,https://www.airbnb.com/users/show/64260929,Bernardo,2016-03-24,"Mexico City, Mexico","Â¡Hola! Soy Bernardo, una persona que siempre le gusta estar al pendiente de los pequeÃ±os detalles de la vida. Me emociona muchÃ­simo la idea de ayudarte en todo lo que pueda para hacer de tu estancia una experiencia increÃ­ble e inolvidable.

Estoy disponible para cualquier duda, independientemente si te quedas o no en mi alojamiento :) 

Mi casa es tu casa, Â¡todos son bienvenidos!",Sin registro,0,0.0,f,https://a0.muscache.com/im/pictures/user/04fc025b-dd60-4649-aa37-0161ce6a5080.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/04fc025b-dd60-4649-aa37-0161ce6a5080.jpg?aki_policy=profile_x_medium,Sin registro,"['email', 'phone']",t,t,"Mexico City, Distrito Federal, Mexico",Gustavo A. Madero,Entire rental unit,Entire home/apt,1.0,"[""Ethernet connection"", ""Long term stays allowed"", ""Cleaning products"", ""TV with standard cable"", ""Laundromat nearby"", ""Security cameras on property"", ""Essentials"", ""Extra pillows and blankets"", ""Oven"", ""Washer \u2013\u00a0In unit"", ""Iron"", ""X sound system with aux"", ""Microwave"", ""Hot water"", ""Shampoo"", ""Keypad"", ""Stove"", ""Pocket wifi"", ""Outdoor furniture"", ""Hair dryer"", ""Cooking basics"", ""Heating"", ""Drying rack for clothing"", ""Portable fans"", ""Refrigerator"", ""Hangers"", ""Clothing storage"", ""Room-darkening shades"", ""Fire extinguisher"", ""Kitchen"", ""First aid kit"", ""Freezer"", ""Self check-in"", ""Neutro body soap"", ""Coffee maker"", ""Bed linens"", ""Private entrance"", ""Wifi"", ""Patio or balcony"", ""Dishes and silverware"", ""Window guards""]",100000.0,t,2023-03-29,2016-04-26,2020-12-03,Sin registro,f,0,0.5
1329,2.0,4.0,19.44199,-99.20138,6.0,2.0,2.0,2.0,1125.0,2.0,2.0,1125.0,1125.0,2.0,1125.0,29,59,89,364,4.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,0.0,13859779,https://www.airbnb.com/rooms/13859779,20230329041210,2023-03-30,city scrape,"Grand Tower 2 queen bedroom,amenities 1block Carso","Te va a encantar mi lugar debido a la gente, el ambiente, las zonas exteriores, el barrio y la luz. Mi alojamiento es bueno para parejas, aventureros, viajeros de negocios y familias (con hijos).",Sin registro,https://a0.muscache.com/pictures/32bcfc20-3a44-4770-adbb-f2ba110823b8.jpg,42599988,https://www.airbnb.com/users/show/42599988,Hector,2015-08-26,"Federal District, Mexico","Apasionado de los viajes y el DiseÃ±o. Estudie Administracion de empresas turisticas en espaÃ±a,  y la vida me ha llevado al fantastico mundo del diseÃ±o de muebles, asi que espero combinar ambos proporcionando excelencia en tu estadia,  servicio, calidad y buen gusto en cada detalle.",Sin registro,0,0.0,f,https://a0.muscache.com/im/users/42599988/profile_pic/1440610427/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/42599988/profile_pic/1440610427/original.jpg?aki_policy=profile_x_medium,Sin registro,"['email', 'phone', 'work_email']",t,t,Sin ubicación,Miguel Hidalgo,Entire rental unit,Entire home/apt,2.0,"[""Baby bath"", ""Smoke alarm"", ""Pool"", ""TV with standard cable"", ""Essentials"", ""Iron"", ""Free parking on premises"", ""Hot tub"", ""Hair dryer"", ""Elevator"", ""Washer"", ""Hangers"", ""Kitchen"", ""Smoking allowed"", ""Gym"", ""Building staff"", ""Self check-in"", ""Outlet covers"", ""Wifi"", ""Pets allowed"", ""Carbon monoxide alarm"", ""Shampoo""]",23601.0,t,2023-03-30,2016-08-19,2017-01-01,Sin registro,f,0,0.05
1524,7.0,9.0,19.351,-99.15279,2.9,1.4,1.6,2.0,20.0,2.0,2.0,20.0,20.0,2.0,20.0,24,44,74,345,28.0,6.0,0.0,4.81,4.92,4.85,4.96,4.88,4.92,4.92,5.0,2.0,3.0,15145820,https://www.airbnb.com/rooms/15145820,20230329041210,2023-03-30,city scrape,La Casita de CoyoacÃ¡n (Casa completa 21 huÃ©spedes),"Casa para 21 huÃ©spedes.<br />Contamos con recepciÃ³n 24h.<br /><br /><br />La Casita de CoyoacÃ¡n cuenta con nueve acogedoras habitaciones aptas para un grupo de hasta  21 personas, con un toque cÃ¡lido que brinda un ambiente familiar y con decoraciones artesanales listas para brindarte un servicio de hospedaje de calidad.<br /><br /><b>The space</b><br />La Casita de CoyoacÃ¡n ofrece ademÃ¡s una cocina, comedor, sala y terraza para compartir en familia o amigos.<br /><br />La propiedad esta ubicada en el corazÃ³n de CoyoacÃ¡n rodeada de teatros, bares, cafeterÃ­as, restaurantes, librerÃ­as y museos como La Casa Azul, entre otros.<br /><br /><b>Guest access</b><br />Wi-Fi, T.V. de paga, terraza, salas de T.V., estacionamiento.<br /><br /><b>Other things to note</b><br />SiÃ©ntete como en una autÃ©ntica casa colonial mexicana, con el servicio y atenciÃ³n de personal mexicano.<br /><br />En este inmueble se encuentra una mascota.","Restaurantes, tiendas, bares, supermercados, transporte.",https://a0.muscache.com/pictures/45d0f0f3-7f21-4500-a1e8-a16c03e2985d.jpg,96060539,https://www.airbnb.com/users/show/96060539,La Casita De CoyoacÃ¡n,2016-09-20,Sin ubicación,Sin registro,within a day,80%,46.0,t,https://a0.muscache.com/im/pictures/user/f5ded074-924c-4f30-b003-cee8e49880fb.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/f5ded074-924c-4f30-b003-cee8e49880fb.jpg?aki_policy=profile_x_medium,CoyoacÃ¡n,"['email', 'phone']",t,t,"Mexico City, Ciudad de MÃ©xico, Mexico",CoyoacÃ¡n,Entire home,Entire home/apt,7.0,"[""Smoke alarm"", ""Free street parking"", ""Luggage dropoff allowed"", ""Long term stays allowed"", ""Dining table"", ""Laundromat nearby"", ""Security cameras on property"", ""Dedicated workspace"", ""Oven"", ""Safe"", ""Microwave"", ""Hot water"", ""Stove"", ""TV"", ""Backyard"", ""Free parking on premises"", ""Cooking basics"", ""Refrigerator"", ""Hangers"", ""Room-darkening shades"", ""Fire extinguisher"", ""Kitchen"", ""First aid kit"", ""Building staff"", ""Self check-in"", ""Coffee maker"", ""Bed linens"", ""Private entrance"", ""Wifi"", ""Patio or balcony"", ""Dishes and silverware"", ""Clothing storage: closet""]",12345.0,t,2023-03-30,2018-03-20,2023-02-20,Sin registro,f,0,0.46
1827,1.0,2.0,19.42961,-99.15876,6.0,2.0,3.0,1.0,180.0,1.0,1.0,180.0,180.0,1.0,180.0,30,60,90,364,27.0,0.0,0.0,4.56,4.56,4.67,4.93,4.85,4.96,4.96,1.0,1.0,0.0,16391848,https://www.airbnb.com/rooms/16391848,20230329041210,2023-03-30,city scrape,Spacious apartment in the heart of the city!,"La mejor ubicaciÃ³n! a 5 min del centro histÃ³rico, a 2 min de Paseo de la Refoma e Insurgentes. ConstrucciÃ³n reciente 85m 2 recÃ¡maras, lavadora, secadora, refri, seguro <br />The best location! 5 min. away from downtown, Reforma Av and Insurgentes Av 2 min. away walking. 860 sq feet. Museums, restaurants and bars within walking distance. Recent construction, nicely decorated, 2 bed, 2 bath with shower, dining room-living room area, kitchen, fridge, microwave oven, washing machine. Everything you need!<br /><br /><b>The space</b><br />Es amplio, seguro y moderno, con elevador y accesos con clave. Completamente equipado para habitarlo. <br />Spacious, safe and modern with elevator and restricted access 24 hour security.<br /><br /><b>Guest access</b><br />Cerca de todo, muchas atracciones caminando como el museo de Cera, El angel de la independencia, diana cazadora y el centro histÃ³rico. A unos pasos de museos, restaurantes, tiendas, centros comerciales, estaciones de metro.<br />Close to",La colonia JuÃ¡rez es famosa por concentrar a la zona rosa donde se encuentran muchos restaurantes y clubes nocturnos. El departamento estÃ¡ a 5 min de los clubs caminando sin la molestia del bullicio. TambiÃ©n estÃ¡ a media cuadra la avenida mÃ¡s bonita e importante de MÃ©xico: Paseo de la Reforma y a solo 20 min. caminando del centro histÃ³rico.,https://a0.muscache.com/pictures/583bf75f-b454-4bd9-8ddc-1791bb02993f.jpg,26762960,https://www.airbnb.com/users/show/26762960,Juan Antonio,2015-01-26,"Texas, United States",I am a professional who loves traveling. Soy un profesionista que le encanta viajar. ,a few days or more,0%,0.0,f,https://a0.muscache.com/im/pictures/user/0b7c8e3b-368c-466b-8647-54b2767e3926.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/0b7c8e3b-368c-466b-8647-54b2767e3926.jpg?aki_policy=profile_x_medium,JuÃ¡rez,"['email', 'phone', 'work_email']",t,t,"Mexico City, Ciudad de MÃ©xico, Mexico",CuauhtÃ©moc,Entire rental unit,Entire home/apt,2.0,"[""Elevator"", ""Private entrance"", ""Wifi"", ""Iron"", ""Washer"", ""Hangers"", ""Shampoo"", ""Kitchen"", ""Dryer"", ""TV"", ""Hair dryer"", ""Essentials""]",50000.0,t,2023-03-30,2016-12-30,2017-05-01,Sin registro,f,0,0.35
1855,7.0,11.0,19.34543,-99.16193,7.0,3.0,1.6,1.0,1000.0,1.0,1.0,1000.0,1000.0,1.0,1000.0,30,60,90,365,15.0,1.0,0.0,4.87,4.6,4.93,4.93,4.93,4.93,4.93,7.0,7.0,0.0,15816189,https://www.airbnb.com/rooms/15816189,20230329041210,2023-03-30,city scrape,Beautiful House in the heart of the city !,"Hello! Welcome to Mexico City. We kindly offer you our home in the cultural center of the city, CoyoacÃ¡n. This is a completely remodeled home with a unique style, comfortable and with contemporary tastes. It is quite big, it has 2 floors. It is well centered and walking distance to restaurants, museums, convenience stores, bigger markets, etc. It is a great place for a group of friends or for a big family! You will completely enjoy your stay in this place, it has everything you may need!<br /><br /><b>The space</b><br />The house is located in the center of CoyoacÃ¡n neighborhood, a safe place, walking distance to anything you need. It has two floors, in the first one you will find the garage for 2 cars, a spacious modern and comfortable kitchen,  half bathroom, the living and dinning room, as well as a big garden for your children to play, or for you to relax after a long day, visiting the city. On the second floor there is a small library, and 3 bedrooms. The main bedroom has a king s","We're located in one of the best and safest neighborhoods in the heart of the city. Here you'll find tons of good restaurants, stores, parks, bars, art galleries and cafeterias for you to hang out and have a great time.",https://a0.muscache.com/pictures/d991ade9-ac4b-499e-acab-48119746d488.jpg,102373818,https://www.airbnb.com/users/show/102373818,Fabiola,2016-11-03,Mexico,"Iâm a very friendly person, my passion is to travel and explore all the infinite possibilities that our beautiful planet Earth has to offer. 
As host, my priority is giving you the best possible experience for a pleasant stay in Mexico City. Rest assured that even if we donÂ´t personally meet,  youÂ´ll feel a warm welcome and find everything clean and ready for your stay. If you have any questions or comments do not hesitate to contact me, I will always look for a way of helping you. 
Enjoy your stay !!!
",within a few hours,100%,82.0,f,https://a0.muscache.com/im/pictures/user/5f8e6fbb-4978-4e21-aefb-10a878319ef1.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/5f8e6fbb-4978-4e21-aefb-10a878319ef1.jpg?aki_policy=profile_x_medium,CoyoacÃ¡n,"['email', 'phone', 'work_email']",t,t,"Mexico City, Ciudad de MÃ©xico, Mexico",CoyoacÃ¡n,Entire home,Entire home/apt,2.0,"[""Free street parking"", ""Luggage dropoff allowed"", ""Long term stays allowed"", ""Essentials"", ""Extra pillows and blankets"", ""Oven"", ""Iron"", ""Microwave"", ""Hot water"", ""Stove"", ""Pocket wifi"", ""TV"", ""Backyard"", ""Free parking on premises"", ""Cooking basics"", ""Heating"", ""Washer"", ""Refrigerator"", ""Hangers"", ""Room-darkening shades"", ""Kitchen"", ""Smoking allowed"", ""Building staff"", ""Self check-in"", ""Coffee maker"", ""Bed linens"", ""Private entrance"", ""Children\u2019s books and toys"", ""Wifi"", ""Patio or balcony"", ""Dishes and silverware"", ""Dryer"", ""Shampoo""]",18154.0,t,2023-03-30,2017-01-08,2022-12-03,Sin registro,f,0,0.2
